price_eur_pm,barrio_encoded,distrito,latitude,longitude,adaptado_movilidad_reducida,aire_acondicionado,antiguedad,armarios_empotrados,ascensor,balcon,banos,calefaccion,chimenea,cocina_equipada,conservacion,exterior,garaje,habitaciones,jardin,piscina,puerta_blindada,sistema_seguridad,superficie_construida,terraza,trastero,vidrios_dobles,planta_numerica,acepta_mascotas,amueblado_True,amueblado_nan,cluster,cluster_label
1600.0,3775.5555555555557,Moncloa-Aravaca,40.4580726,-3.7841844,0.0,1.0,0.9148002236265389,1.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,90.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,2,Apartamento Céntrico Amueblado
2100.0,2381.7391304347825,Salamanca,40.4355483,-3.6761959,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,1.0,5.0,0.0,1.0,0.0,3,Vivienda de Lujo Exclusivo
2000.0,1325.0,Carabanchel,40.3880219,-3.7212484,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,128.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,3,Vivienda de Lujo Exclusivo
1850.0,1713.5714285714287,Ciudad Lineal,40.4422679,-3.6533347,0.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,115.0,1.0,0.0,0.0,6.0,0.0,0.0,1.0,4,Apartamento Premium (Ubicación Prime)
2700.0,2349.5757575757575,Centro,40.4293185,-3.7053039,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,92.0,1.0,0.0,0.0,5.0,0.0,1.0,0.0,0,Residencial Familiar con Extras
890.0,1134.888888888889,Ciudad Lineal,40.4432053,-3.642051847,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,85.0,1.0,0.0,0.0,5.0,0.0,1.0,0.0,3,Vivienda de Lujo Exclusivo
2000.0,3843.846153846154,Salamanca,40.4338188,-3.6856831,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,70.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,3,Vivienda de Lujo Exclusivo
2825.0,3843.846153846154,Salamanca,40.4484224,-3.6775172,0.0,1.0,0.42714823084075493,1.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,6.0,1.0,1.0,0.0,0,Residencial Familiar con Extras
1200.0,1087.857142857143,Carabanchel,40.3826743,-3.7307569,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0967311751754323,0.0,0.0,3.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,2,Apartamento Céntrico Amueblado
3500.0,3480.1075268817203,Chamberí,40.4378321,-3.6930425,0.0,1.0,0.21834823537862302,1.0,0.0,0.0,2.0,1.0,0.0,1.0,1.3879329067155208,0.0,0.0,3.0,0.0,0.0,0.0,0.0,150.0,0.0,0.0,0.0,2.769200654158071,0.0,1.0,0.0,3,Vivienda de Lujo Exclusivo
1200.0,1134.888888888889,Ciudad Lineal,40.4427852,-3.6436842,0.0,1.0,2.3564143935517854,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0324244839596473,1.0,0.0,1.0,0.0,1.0,0.0,0.0,54.0,0.0,0.0,0.0,3.093549655067738,0.0,0.0,1.0,2,Apartamento Céntrico Amueblado
2900.0,2417.2380952380954,Chamberí,40.4355828,-3.7173263,0.0,1.0,0.7133314550867034,1.0,1.0,0.0,3.0,1.0,0.0,0.0,1.5261358800476876,0.0,0.0,3.0,0.0,0.0,1.0,0.0,163.78597211786678,1.0,0.0,0.0,2.0,0.0,1.0,0.0,3,Vivienda de Lujo Exclusivo
1200.0,1465.0,Arganzuela,40.4018,-3.69716,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0423081068407938,0.0,0.0,2.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,2,Apartamento Céntrico Amueblado
900.0,1752.3333333333333,Tetuán,40.4560039,-3.706318,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,2.162601002005989,0.0,0.0,1.0,2,Apartamento Céntrico Amueblado
1500.0,3220.234693877551,Centro,40.4130933,-3.7086104,0.0,0.0,0.7787919105833097,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,2,Apartamento Céntrico Amueblado
1500.0,1472.575,Centro,40.4086543,-3.7023202,0.0,1.0,0.5750613234814955,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,84.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,3,Vivienda de Lujo Exclusivo
4500.0,2806.7045454545455,Chamartín,40.4568826,-3.6873704,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.1625669527207128,0.0,0.0,4.0,0.0,0.0,0.0,0.0,213.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,2,Apartamento Céntrico Amueblado
1200.0,1352.5,Ciudad Lineal,40.4307751,-3.6481571,1.0,0.0,4.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,65.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,1,Piso Básico y Económico
1200.0,1472.575,Centro,40.4093028,-3.69887,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,2,Apartamento Céntrico Amueblado
2600.0,2913.703703703704,Chamartín,40.4613288,-3.672516,0.0,1.0,2.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,2.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,3,Vivienda de Lujo Exclusivo
890.0,1035.0,San Blas,40.4302126,-3.6119697,0.0,1.0,3.5076147590472413,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,40.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,Piso Básico y Económico
900.0,1472.575,Centro,40.40823,-3.7005574,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,2,Apartamento Céntrico Amueblado
1600.0,2872.3939393939395,Moncloa-Aravaca,40.4214872,-3.71602,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,74.0,1.0,0.0,0.0,4.195962232902702,0.0,0.0,1.0,2,Apartamento Céntrico Amueblado
1200.0,1383.3333333333333,Barajas,40.4632732,-3.5915071,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,68.0,0.0,1.0,0.0,3.625557577660599,0.0,0.0,1.0,4,Apartamento Premium (Ubicación Prime)
750.0,1266.0,Ciudad Lineal,40.4333884,-3.64412,0.0,1.0,1.9878973870398826,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,1.2683489358942026,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,3,Vivienda de Lujo Exclusivo
1800.0,1718.409090909091,Arganzuela,40.4117063,-3.7246097,0.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,10.0,0.0,1.0,0.0,3,Vivienda de Lujo Exclusivo
1290.0,2428.85,Centro,40.4143053,-3.7034108,1.0,1.0,1.8454685236188948,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,70.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,1,Piso Básico y Económico
1500.0,1422.5,Fuencarral-El Pardo,40.4785087,-3.7239262,0.0,0.0,2.854498748842147,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.2556241212923642,0.0,0.0,2.0,0.0,1.0,0.0,0.0,55.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,3,Vivienda de Lujo Exclusivo
1870.0,2090.0,Fuencarral-El Pardo,40.4844036,-3.7058417,0.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0,126.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,4,Apartamento Premium (Ubicación Prime)
