price_eur,barrio,distrito,lat,lon,energy_consumption_rating,energy_consumption_value,energy_emissions_rating,energy_emissions_value,adaptado a personas con movilidad reducida,aire acondicionado,amueblado,antigüedad,ascensor,balcón,baños,calefacción,chimenea,conservación,exterior,garaje,habitaciones,jardín,piscina,planta,portero automático,puerta blindada,sistema de seguridad,superficie construida,superficie útil,terraza,trastero,vidrios dobles,tipo_inmueble
318742.0,Simancas,San Blas,40.4341242,-3.6245248,False,,False,,0.0,False,True,Desconocida,False,False,1,False,False,A estrenar,False,False,1.0,False,False,2.0,False,False,False,69.0,69.0,False,False,False,Piso
2026500.0,Aravaca,Moncloa-Aravaca,40.4606482,-3.7804163,False,,False,,0.0,False,True,Desconocida,False,False,5,False,False,A estrenar,False,False,12.0,False,False,1.0,False,False,False,319.0,319.0,False,False,False,Piso
580000.0,Adelfas,Retiro,40.3991699,-3.6705092,E,208 kWh/m² año,E,43 Kg CO₂/m² año,0.0,False,True,Más de 50 años,False,False,1,True,True,En buen estado,False,False,2.0,False,False,7.0,False,False,False,109.0,98.0,False,False,False,Otro
417600.0,Los Berrocales-Los Ahijones,Vicálvaro,40.3967309,-3.5844075,False,,False,,0.0,False,True,Desconocida,False,False,2,False,False,A estrenar,False,False,2.0,False,False,0.0,False,False,False,84.0,84.0,False,False,False,Otro
440000.0,San Andrés,Villaverde,40.3484,-3.70229,False,,False,,0.0,False,True,Desconocida,False,False,2,True,False,A estrenar,False,False,3.0,False,False,0.0,False,False,False,111.0,111.0,False,False,False,Otro
2026500.0,Aravaca,Moncloa-Aravaca,40.4606482,-3.7804163,False,,False,,0.0,False,True,Desconocida,False,False,4,False,False,A estrenar,False,False,12.0,False,False,0.0,False,False,False,315.0,315.0,False,False,False,Piso
1911000.0,Aravaca,Moncloa-Aravaca,40.4606482,-3.7804163,False,,False,,0.0,False,True,Desconocida,False,False,4,False,False,A estrenar,False,False,11.0,False,False,1.0,False,False,False,285.0,285.0,False,False,False,Piso
4500000.0,Aravaca,Moncloa-Aravaca,40.461602903,-3.784006916,False,,False,,0.0,False,True,Desconocida,False,False,1,False,False,A estrenar,False,False,,False,False,0.0,False,False,False,,,False,False,False,Chalet
312000.0,San Andrés,Villaverde,40.3484,-3.70229,False,,False,,0.0,False,True,Desconocida,False,False,2,True,False,A estrenar,False,False,2.0,False,False,1.0,False,False,False,99.0,99.0,False,False,False,Piso
283449.0,Simancas,San Blas,40.4341242,-3.6245248,False,,False,,0.0,False,True,Desconocida,False,False,1,False,False,A estrenar,False,False,1.0,False,False,2.0,False,False,False,65.0,65.0,False,False,False,Piso
469500.0,Pueblo Nuevo,Ciudad Lineal,40.4196514,-3.6288947,False,,False,,0.0,False,True,Desconocida,False,False,1,False,False,A estrenar,False,False,1.0,False,False,3.0,False,False,False,98.0,98.0,False,False,False,Piso
287500.0,Pueblo Nuevo,Ciudad Lineal,40.4196514,-3.6288947,False,,False,,0.0,False,True,Desconocida,False,False,1,False,False,A estrenar,False,False,1.0,False,False,0.0,False,False,False,72.0,72.0,False,False,False,Piso
465000.0,Los Berrocales-Los Ahijones,Vicálvaro,40.3967309,-3.5844075,False,,False,,0.0,False,True,Desconocida,False,False,2,False,False,A estrenar,False,False,2.0,False,False,0.0,False,False,False,93.0,93.0,False,False,False,Otro
442500.0,Pueblo Nuevo,Ciudad Lineal,40.4196514,-3.6288947,False,,False,,0.0,False,True,Desconocida,False,False,1,False,False,A estrenar,False,False,2.0,False,False,1.0,False,False,False,103.0,103.0,False,False,False,Piso
500900.0,Los Berrocales-Los Ahijones,Vicálvaro,40.3944771,-3.5863435,False,,False,,0.0,False,True,Desconocida,False,False,2,False,False,A estrenar,False,False,2.0,False,False,0.0,False,False,False,98.0,98.0,False,False,False,Otro
497000.0,Berruguete,Tetuán,40.456818,-3.7079511,E,232 kWh/m² año,E,48 Kg CO₂/m² año,0.0,False,True,Más de 50 años,False,False,2,True,False,En buen estado,False,False,3.0,False,False,0.0,False,False,False,103.0,103.0,False,False,False,Piso
407800.0,Los Berrocales-Los Ahijones,Vicálvaro,40.3967309,-3.5844075,False,,False,,0.0,False,True,Desconocida,False,False,2,False,False,A estrenar,False,False,3.0,False,False,0.0,False,False,False,102.0,102.0,False,False,False,Otro
287723.0,Simancas,San Blas,40.4341242,-3.6245248,False,,False,,0.0,False,True,Desconocida,False,False,1,False,False,A estrenar,False,False,1.0,False,False,1.0,False,False,False,64.0,64.0,False,False,False,Piso
