price_eur,barrio,distrito,lat,lon,listing_type,energy_consumption_rating,energy_emissions_rating,adaptado a personas con movilidad reducida,aire acondicionado,amueblado,antigüedad,ascensor,balcón,baños,calefacción,chimenea,cocina equipada,conservación,exterior,garaje,habitaciones,jardín,piscina,planta,portero automático,puerta blindada,referencia,sistema de seguridad,superficie construida,superficie útil,terraza,trastero,vidrios dobles,tipo_inmueble
1600.0,Argüelles,Moncloa-Aravaca,40.4214872,-3.71602,rental,False,False,0.0,False,No,Más de 50 años,False,False,1,False,False,True,Reformado,False,False,2.0,False,False,0.0,True,False,619755,False,74.0,74.0,False,False,False,Casa
1200.0,Corralejos,Barajas,40.4632732,-3.5915071,rental,False,False,0.0,False,No,Entre 20 y 30 años,False,False,1,False,False,False,En buen estado,False,True,1.0,False,False,0.0,False,False,618705,False,68.0,68.0,False,False,False,Piso
750.0,Pueblo Nuevo,Ciudad Lineal,40.4333884,-3.64412,rental,False,False,0.0,True,Si,,False,False,1,False,False,True,Reformado,False,False,1.0,False,False,2.0,True,False,2A1018,False,28.0,28.0,False,False,False,Otro
1800.0,Imperial,Arganzuela,40.4117063,-3.7246097,rental,D,D,0.0,False,Si,Entre 30 y 50 años,False,False,2,True,False,True,En buen estado,False,False,3.0,False,False,10.0,False,False,LCM36128,False,90.0,90.0,False,False,False,Piso
1290.0,Sol,Centro,40.4143053,-3.7034108,rental,False,False,1.0,True,Si,,False,False,1,True,False,True,En buen estado,False,False,1.0,False,True,2.0,True,True,000566,False,70.0,65.0,False,False,False,Otro
1500.0,Peñagrande,Fuencarral-El Pardo,40.4785087,-3.7239262,rental,D,D,0.0,False,Si,,False,False,1,True,False,True,En buen estado,False,False,2.0,False,True,2.0,False,False,3213,False,55.0,55.0,False,False,False,Piso
1870.0,La Paz,Fuencarral-El Pardo,40.4844036,-3.7058417,rental,D,C,0.0,False,Si,Más de 50 años,False,False,2,False,False,True,En buen estado,False,True,3.0,False,False,2.0,False,False,4526-06668,False,126.0,110.0,False,False,False,Casa
1295.0,Ensanche de Vallecas-Valdecarros,Villa de Vallecas,40.3627864,-3.6020904,rental,False,False,0.0,False,No,,False,False,1,False,False,False,En buen estado,False,False,2.0,False,False,5.0,False,False,11373,False,69.0,58.0,False,False,False,Otro
4300.0,Trafalgar,Chamberí,40.4348047,-3.7000323,rental,False,False,0.0,False,No,Más de 50 años,False,1.0,2,True,False,False,En buen estado,False,True,3.0,False,False,2.0,False,False,ALQ.ELOY.C/9621,False,170.0,153.0,False,False,False,Piso
1590.0,La Paz,Fuencarral-El Pardo,40.4773319,-3.6963259,rental,False,False,0.0,True,No,,True,False,2,False,False,False,En buen estado,False,False,2.0,False,False,0.0,False,True,1710/545,True,107.0,107.0,False,False,False,Piso
3900.0,El Viso,Chamartín,40.4503261,-3.6871504,rental,False,False,0.0,True,No,Más de 50 años,False,1.0,4,True,1.0,Independiente totalmente equipada y amueblada,En buen estado,False,True,5.0,False,False,7.0,Y físico,True,000662,False,328.0,280.0,False,False,False,Piso
1540.0,San Isidro,Carabanchel,40.3987324,-3.7194464,rental,False,False,0.0,False,No,,False,False,1,False,False,False,En buen estado,False,False,2.0,False,False,1.0,False,False,13371,False,101.0,66.0,False,False,False,Otro
3900.0,Valdezarza,Moncloa-Aravaca,40.4703871,-3.7243751,rental,False,False,0.0,True,Si,Entre 20 y 30 años,False,False,4,True,False,Cocina equipada,En buen estado,False,True,6.0,True,False,0.0,False,False,342803540561,False,329.0,329.0,False,False,False,Chalet
1460.0,Valdeacederas,Tetuán,40.4698845,-3.7031368,rental,E,D,0.0,True,No,,False,False,1,False,False,True,En buen estado,False,True,2.0,False,False,2.0,True,False,1559-CS260,False,70.0,50.0,False,False,False,Piso
2100.0,Guindalera,Salamanca,40.4385151,-3.662465,rental,False,False,1.0,False,Si,,False,False,2,False,1.0,Americana,En buen estado,False,False,1.0,False,False,0.0,False,False,PIS0283,False,103.0,100.0,False,False,False,Piso
925.0,Río Rosas,Chamberí,40.4382703,-3.6990848,rental,False,False,0.0,False,No,,False,False,1,False,False,True,En buen estado,False,False,1.0,False,False,1.0,False,False,2827-026935,False,40.0,40.0,False,False,False,Otro
1315.0,Canillas,Hortaleza,40.4593386,-3.6394908,rental,False,False,0.0,False,No,,False,False,1,False,False,False,En buen estado,False,False,1.0,False,False,0.0,False,False,12150,False,66.0,66.0,False,False,False,Casa
950.0,Río Rosas,Chamberí,40.4442243,-3.698462,rental,False,False,0.0,False,No,,False,False,1,False,False,True,En buen estado,False,False,1.0,False,False,0.0,False,False,2827-033404,False,40.0,40.0,False,False,False,Otro
1815.0,Almenara,Tetuán,40.468056631,-3.689211009,rental,False,False,0.0,False,No,,False,False,2,False,False,False,En buen estado,False,False,2.0,False,False,4.0,False,False,9726,False,114.0,83.0,False,False,False,Otro
1870.0,Canillas,Hortaleza,40.4638961,-3.6398402,rental,False,False,0.0,False,No,,False,False,2,False,False,False,En buen estado,False,False,3.0,False,False,2.0,False,False,12954,False,108.0,108.0,False,False,False,Casa
2450.0,Piovera,Hortaleza,40.4620247,-3.6362116,rental,False,False,0.0,False,No,,False,False,2,False,False,False,En buen estado,False,False,3.0,False,False,4.0,False,False,14054,False,132.0,132.0,False,False,False,Casa
1720.0,Piovera,Hortaleza,40.4617533,-3.6372138,rental,False,False,0.0,False,No,,False,False,2,False,False,False,En buen estado,False,False,2.0,False,False,2.0,False,False,869,False,111.0,111.0,False,False,False,Casa
1055.0,Peñagrande,Fuencarral-El Pardo,40.4735429,-3.7242565,rental,False,False,0.0,False,No,,False,False,1,False,False,False,En buen estado,False,False,1.0,False,False,11.0,False,False,14657,False,56.0,39.0,False,False,False,Otro
4750.0,Goya,Salamanca,40.4244698,-3.6778253,rental,False,False,1.0,False,No,,False,False,3,True,False,False,En buen estado,False,False,3.0,False,False,0.0,False,False,8f325c58-b03e-4b34-b,False,235.0,200.0,False,False,False,Otro
1435.0,Casco Histórico de Barajas,Barajas,40.4788096,-3.5790113,rental,B,B,0.0,False,No,Menos de 5 años,False,False,2,True,False,True,En buen estado,False,True,2.0,False,True,0.0,False,False,I-00KZDI-W-02VYI3,False,67.0,67.0,False,False,False,Piso
1460.0,Piovera,Hortaleza,40.4583662,-3.6228969,rental,False,False,0.0,False,No,,False,False,1,False,False,False,En buen estado,False,False,1.0,False,False,2.0,False,False,14064,False,67.0,56.0,False,False,False,Casa
2500.0,Hispanoamérica,Chamartín,40.4559594,-3.6773644,rental,E,D,0.0,False,Si,Más de 50 años,False,False,2,True,False,True,En buen estado,False,False,3.0,False,False,1.0,False,False,RE0015-4754,False,91.0,91.0,False,False,False,Piso
1140.0,Guindalera,Salamanca,40.438651,-3.6659709,rental,False,False,0.0,False,No,,False,False,1,False,False,False,En buen estado,False,False,1.0,False,False,3.0,False,False,14202,False,57.0,40.0,False,False,False,Otro
1305.0,Almenara,Tetuán,40.4683504,-3.6896001,rental,False,False,0.0,False,No,,False,False,1,False,False,False,En buen estado,False,False,1.0,False,False,1.0,False,False,14669,False,63.0,46.0,False,False,False,Otro
1455.0,Sanchinarro,Hortaleza,40.4853,-3.65143,rental,False,False,0.0,False,No,,False,False,1,False,False,True,En buen estado,False,True,2.0,False,False,6.0,False,False,2200/22000636/00000230,False,74.0,74.0,False,False,False,Casa
1575.0,Delicias,Arganzuela,40.3859397,-3.691261,rental,False,False,0.0,False,No,,False,False,1,False,False,False,En buen estado,False,False,2.0,False,False,3.0,False,False,14867,False,94.0,66.0,False,False,False,Otro
4100.0,Valdebebas-Valdefuentes,Hortaleza,40.480271018,-3.635669406,rental,False,False,0.0,False,No,Entre 5 y 10 años,False,False,4,False,1.0,False,En buen estado,False,True,5.0,False,True,0.0,False,True,06927/7621,False,250.0,213.0,False,False,False,Chalet
1160.0,Hispanoamérica,Chamartín,40.4535031,-3.6803195,rental,False,False,0.0,False,No,,False,False,1,False,False,False,En buen estado,False,False,2.0,False,False,3.0,False,False,12974,False,50.0,50.0,False,False,False,Otro
1825.0,San Pascual,Ciudad Lineal,40.4438243,-3.6526133,rental,False,False,0.0,False,No,,False,False,2,False,False,False,En buen estado,False,False,3.0,False,False,8.0,False,False,13935,False,108.0,81.0,False,False,False,Otro
1100.0,Puerta del Ángel,Latina,40.4157952,-3.7253818,rental,False,False,0.0,False,No,,False,False,1,False,False,True,En buen estado,False,False,2.0,False,False,0.0,False,False,2808-033893,False,50.0,50.0,False,False,False,Piso
8000.0,Trafalgar,Chamberí,40.4284011,-3.69842,rental,B,B,0.0,False,No,,False,False,4,True,False,True,En buen estado,False,False,3.0,False,False,0.0,False,False,I-00JZXI-W-02N3TU,False,204.0,204.0,False,False,False,Piso
1315.0,Piovera,Hortaleza,40.4588163,-3.6379737,rental,False,False,0.0,False,No,,False,False,1,False,False,False,En buen estado,False,False,1.0,False,False,0.0,False,False,14909,False,66.0,66.0,False,False,False,Casa
