price_eur,barrio_encoded,distrito,latitude,longitude,adaptado_movilidad_reducida,aire_acondicionado,antiguedad,armarios_empotrados,ascensor,balcon,banos,calefaccion,chimenea,cocina_equipada,conservacion,exterior,garaje,habitaciones,jardin,piscina,puerta_blindada,sistema_seguridad,superficie_construida,terraza,trastero,vidrios_dobles,planta_numerica,amueblado_False,amueblado_True,amueblado_nan,cluster,cluster_label
1249000.0,1372188.6956521738,Centro,40.413703,-3.7152431,0.0,0.0,3.0,1.0,1.0,0.0,3.0,1.0,0.0,0.0,1.6644688256611415,0.0,0.0,2.0,0.0,0.0,0.0,0.0,170.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0,Piso Señorial Clásico
1095000.0,2954981.132075472,Salamanca,40.4274917,-3.6772773,0.0,1.0,0.4558288579247979,1.0,1.0,0.0,2.0,1.0,0.0,1.0,2.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,131.0,0.0,1.0,1.0,3.0,0.0,0.0,1.0,0,Piso Señorial Clásico
1119000.0,1199881.3559322034,Centro,40.41769260000001,-3.7034134,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.001491195523945,0.0,0.0,3.0,0.0,0.0,0.0,0.0,136.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,4,Premium Reformado
1990000.0,1774818.1818181819,Retiro,40.4202555,-3.6755725,0.0,1.0,0.632545629274728,0.0,1.0,0.0,4.0,1.0,0.0,1.0,3.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,167.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,4,Premium Reformado
1850000.0,1464407.4074074074,Chamartín,40.4545759,-3.6679797,0.0,1.0,3.0,1.0,0.0,0.0,4.0,1.0,1.0,0.0,1.933730161380478,0.0,0.0,4.0,1.0,1.0,1.0,1.0,250.0,1.0,1.0,0.0,3.8853798039485112,0.0,1.0,0.0,3,Lujo Moderno (Full Equip)
340000.0,206983.09523809524,Puente de Vallecas,40.3947193,-3.6701665,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,100.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0,Piso Señorial Clásico
362900.0,404876.1904761905,Vicálvaro,40.393904724,-3.58149909,0.0,0.0,1.2650075251914565,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,88.0,1.0,0.0,0.0,2.9746528884525745,0.0,0.0,1.0,1,Apartamento Estándar
259900.0,1050198.55,Chamberí,40.4436468,-3.7037317,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,2.038513431067891,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1,Apartamento Estándar
650000.0,471841.6666666667,Centro,40.4066027,-3.6974994,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.8839981198479729,0.0,0.0,4.0,0.0,0.0,1.0,0.0,135.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0,Piso Señorial Clásico
690000.0,1209500.0,Chamberí,40.4395427,-3.7005104,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,72.0,1.0,0.0,0.0,3.530534878989065,0.0,1.0,0.0,4,Premium Reformado
329900.0,394400.0,Fuencarral-El Pardo,40.4757999,-3.7126999,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1,Apartamento Estándar
3999000.0,2711931.214285714,Salamanca,40.4281322,-3.6814351,1.0,1.0,0.0,1.0,1.0,0.0,3.0,1.0,0.0,1.0,2.0,1.0,0.0,3.0,0.0,0.0,1.0,1.0,195.0,1.0,1.0,1.0,6.0,0.0,1.0,0.0,4,Premium Reformado
1400000.0,2686057.5757575757,Moncloa-Aravaca,40.4475868,-3.7826114,1.0,1.0,3.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,5.0,1.0,1.0,0.0,0.0,236.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,3,Lujo Moderno (Full Equip)
530000.0,1372188.6956521738,Centro,40.41623,-3.7107248,0.0,0.0,0.16440877339060456,0.0,1.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,108.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1,Apartamento Estándar
5300000.0,2954981.132075472,Salamanca,40.4338188,-3.6856831,0.0,1.0,0.0,1.0,1.0,0.0,6.0,1.0,0.0,1.0,3.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,405.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,0,Piso Señorial Clásico
750000.0,471841.6666666667,Centro,40.4085986,-3.7012104,0.0,0.0,0.8687409294620771,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,1.0,0.0,5.0,0.0,0.0,1.0,1.0,123.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,1,Apartamento Estándar
1150000.0,1139363.6363636365,Tetuán,40.4537277,-3.7031762,0.0,0.0,0.5007309991002217,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.1703847799115759,1.0,0.0,3.0,0.0,0.0,0.0,0.0,189.0,0.0,1.0,0.0,1.9279605912150677,0.0,0.0,1.0,1,Apartamento Estándar
630000.0,527250.0,Arganzuela,40.3952937,-3.6943594,0.0,1.0,0.154025066358638,1.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,118.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0,Piso Señorial Clásico
1445000.0,1005384.6153846154,Chamberí,40.4365792,-3.7054145,0.0,1.0,0.4326732219132301,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.9635289397265248,1.0,0.0,5.0,0.0,0.0,0.0,0.0,207.0,1.0,1.0,0.0,4.070993133107011,0.0,0.0,1.0,0,Piso Señorial Clásico
5695000.0,2711931.214285714,Salamanca,40.42755,-3.682354,0.0,0.0,0.0,1.0,1.0,0.0,4.0,1.0,0.0,1.0,2.4538601418899515,0.0,0.0,3.0,0.0,0.0,0.0,0.0,323.0,1.0,0.0,0.0,4.0,0.0,1.0,0.0,4,Premium Reformado
2650000.0,2711931.214285714,Salamanca,40.4222617,-3.6809625,1.0,1.0,0.0,1.0,1.0,1.0,4.0,1.0,0.0,1.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,148.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,4,Premium Reformado
309900.0,394400.0,Fuencarral-El Pardo,40.4754181,-3.7121501,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,58.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0,Piso Señorial Clásico
269000.0,335231.5789473684,San Blas,40.4454405,-3.615809,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1,Apartamento Estándar
548000.0,752190.7113402062,Centro,40.4256246,-3.7049534,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,1,Apartamento Estándar
1020000.0,1372188.6956521738,Centro,40.4158341,-3.7095616,0.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,4.0,0.0,0.0,1.0,1.0,180.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,4,Premium Reformado
1119000.0,1199881.3559322034,Centro,40.4172277,-3.7044002,0.0,1.0,0.41821926529701625,1.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,139.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0,Piso Señorial Clásico
3650000.0,2686057.5757575757,Moncloa-Aravaca,40.458924,-3.7659246,0.0,0.0,5.0,1.0,0.0,0.0,7.0,1.0,0.0,1.0,2.7020121604837333,0.0,1.0,5.0,1.0,1.0,0.0,0.0,754.0,1.0,1.0,0.0,3.916793791961535,0.0,0.0,1.0,3,Lujo Moderno (Full Equip)
705000.0,720439.9714285714,Fuencarral-El Pardo,40.4784458,-3.7191302,0.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,135.0,0.0,0.0,0.0,2.9046878840797548,0.0,0.0,1.0,3,Lujo Moderno (Full Equip)
365000.0,231143.62068965516,Villaverde,40.3484,-3.70229,0.0,0.0,1.3156866466599704,1.0,1.0,0.0,2.0,1.0,0.0,1.0,3.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,114.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0,Piso Señorial Clásico
499000.0,380883.3333333333,Arganzuela,40.4041526,-3.6908928,0.0,1.0,0.5415492520535509,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.6629980241517466,1.0,0.0,1.0,0.0,0.0,1.0,0.0,67.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,4,Premium Reformado
440000.0,283611.1111111111,San Blas,40.4176057,-3.6155692,0.0,1.0,2.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,2.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,134.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,1,Apartamento Estándar
415000.0,273866.45454545453,Usera,40.3885691,-3.7002213,0.0,1.0,0.42267011684454536,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.1315310479756207,1.0,0.0,2.0,0.0,0.0,0.0,0.0,74.0,1.0,0.0,0.0,3.145411134428383,0.0,0.0,1.0,1,Apartamento Estándar
2150000.0,1985104.0983606558,Salamanca,40.4248127,-3.6723875,0.0,1.0,0.0,1.0,1.0,0.0,3.0,1.0,0.0,0.0,1.5361216795231232,0.0,0.0,4.0,0.0,0.0,1.0,0.0,174.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,4,Premium Reformado
685000.0,901200.0,San Blas,40.4392588,-3.6323276,0.0,1.0,2.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,140.0,1.0,1.0,0.0,5.0,0.0,0.0,1.0,0,Piso Señorial Clásico
1090000.0,2779343.243243243,Retiro,40.4146496,-3.689781,0.0,1.0,0.6715820837330049,1.0,1.0,0.0,2.0,0.0,1.0,1.0,3.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,86.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,4,Premium Reformado
2100000.0,1464407.4074074074,Chamartín,40.4528359,-3.684779,1.0,1.0,0.0,1.0,1.0,0.0,4.0,1.0,0.0,1.0,0.0,1.0,1.0,6.0,0.0,0.0,1.0,1.0,280.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,0,Piso Señorial Clásico
325000.0,720439.9714285714,Fuencarral-El Pardo,40.480687,-3.7206337,1.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,Piso Señorial Clásico
1150000.0,1209500.0,Chamberí,40.4422675,-3.7035728,0.0,0.0,0.0,1.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,168.0,1.0,1.0,0.0,3.6154216074900325,0.0,0.0,1.0,0,Piso Señorial Clásico
356900.0,404876.1904761905,Vicálvaro,40.3967309,-3.5844075,0.0,0.0,1.2646267958390038,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,88.0,1.0,0.0,0.0,2.9743666445229495,0.0,0.0,1.0,1,Apartamento Estándar
456900.0,483323.07692307694,Vicálvaro,40.4017,-3.56105,0.0,0.0,1.4696891605970372,0.0,1.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,118.0,1.0,1.0,0.0,3.60438699834033,0.0,0.0,1.0,1,Apartamento Estándar
379000.0,399200.0,Arganzuela,40.3946203,-3.696197,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.7380550306054938,0.0,0.0,3.0,0.0,0.0,0.0,0.0,71.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,1,Apartamento Estándar
889000.0,1199881.3559322034,Centro,40.4197146,-3.7041066,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.395429471845338,0.0,0.0,2.0,0.0,0.0,0.0,0.0,118.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1,Apartamento Estándar
399000.0,449400.0,Moncloa-Aravaca,40.3646398,-3.7516182,0.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,90.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,1,Apartamento Estándar
260000.0,327500.0,Carabanchel,40.3912894,-3.711081,0.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,82.0,0.0,0.0,0.0,1.850894391647661,0.0,0.0,1.0,1,Apartamento Estándar
